3-d;"etando mísátoabbreviation"
define;"koyébisa ntína"
defined;"ya koyébisa ntína, ya ntína eṕsámí"
definition;"boyébisi ntína, definisío"
defragmentation;""
degree;""
deinstall;""
del / delete key;""
delay;"elaká"
delayed;""
delete cells;""
delete contents;""
delete files;""
delete manual break;""
delete message;""
delete slide;""
delete this panel;""
delete;"kolímuisa"
deleted;"ebímuísámí"
deleting files;""
deleting;"kolímuisa"
deletion;"bolímuisi"
delimit;""
delimiter;"ekátela"
deliver;"kotíkela"
delivered;"ya kotíkela"
demilitarized zone (dns);""
demo (demonstration);""
demo;"démo"
demote;""
denied;"eboyámí"
denominator;""
denote;""
deny;"kobóya"
department;""
dependence;""
dependency;""
depth;""
derived;"útá na"
desaturate;"kotóndamela"
descending (order);"ya bokútui"
descending sort;""
descending;""
describe;"kolimbola"
description contains;""
description;"bolimboli"
descriptor;""
deselect;"kopɔnola"
design;"dizaínɛ"
designation;""
designer;""
desktop background;""
desktop computer;"kompitá ya biló"
desktop effects;""
desktop environment;""
desktop icon;""
desktop;"biló"
destination folder;""
destination;"tíndamelo"
destroy;""
detach tab;""
detach;"kobákola"
detail;"détayɛ"
details about;"détayɛ́ etalí"
detect and repair;""
detect;"komóna"
detected;"emónámí"
detection;""
detective;""
devanagari;""
develop;""
developer;""
development cycle;""
development;""
device manager;"moyángeli masíni"
device;"masínidiacritic / diacritical mark"
diacritic / diacritical mark;""
diacritic, diacritical mark;""
diagnostics;"dianosiki"
diagonal line;""
diagonal;"diagonalɛ"
diagram;"diagami"
dial in;""
dial out;""
dial tone;"tɔnalitɛdial-up"
dial-up access;"liyíngeli na singa"
dial-up;""
dial;"kobɛtɛ limelo"
dialect;"lofwézi"
dialer;""
dialog box;"lininísa lia bosololi"
dialog element;""
dialog pane;""
dialog;""
dialogue / dialog;"bosololi"
dialout device;""
dialup;""
diameter;"diamɛ́tɛlɛ"
dictation software;""
dictionaries;""
dictionary server;""
dictionary sources;""
dictionary;"bagó"
difference;""
digest;"mokwé"
digit;"motángo"
digital camera;""
digital signature;""
digital signatures;""
digital;"dizítalɛdigital signature"
digitally;"ya nimériki"
digits;""
dim;"Kokomisa moíndo"
dimension;"dimasío"
direct access;"liyíngeli sémba"
direction;"etámbolí, direksío"
directories;""
directory not empty;""
directory server;""
directory;"monkɛ́lɛ́disable"
disable;""
disabled;"ya kotendisa, etendísámí"
disabling;"kotendisa"
disc;""
discard;"kobwákisa"
discarded;"ebwákísámí"
disclaim;""
disclaimer;"boyanoli ndelo ya"
disconnect;"kodɛkonɛkitɛ"
disconnected;"ya kodɛkɔnɛkitɛ"
discontinue;""
discrete;""
discussion;"ntembe"
disk drive;"etángeli disiki"
disk space;"sipasi disiski"
disk usage analyzer;""
disk;"disiki"
diskette;"disiki ekɛ́, disikɛ́tɛ"
dismiss;""
dispatch;""
display line numbers;""
display;"emɔ́niseli"
displayed;"emɔ́nisámí"
dissertation;""
dissipation;""
dissolve;""
distance;"ntáka"
distinct;"ya kokɛsɛnɛ"
distort;"kotɛngisa"
distortion;"ɛlɛ́mo, litɛngisi"
distribute columns evenly;""
distribute rows evenly;""
distribute;"kopanza"
distributed;"ya panza"
distribution list;""
distribution;"disitribisío"
distributor;""
dithering;""
divide;"kokabola"
divided;"ekabólámí, ya kokabola"
dividend;""
division by zero;""
division sign;""
division;"bokaboli"
divisor;""
dma;""
dns;""
do you really want to;""
do you want to;""
dock;"kotinga"
document begin;""
document statistics;""
document viewer;""
document;"dokimá"
documentation;"dokimatasío"
documentations;""
documents;""
does not exist;""
dom inspector;""
domain name;"nkómbó ya dɔmɛnɛ"
domain;"dɔmɛnɛ"
domestic;"domestíki"
done;"esálémí"
dossier;""
dot matrix printer;""
dot;"lɔtɔ"
dotted;"ya pútú elándání"
double click;"kodúblɛklikɛ"
double line;"liníɛ míbalé"
double quote;"gíyɛ́mɛ míbalé"
double size;""
double strikethrough;"ya koziba mbala míbalé"
double underline;"sulimá míbalé"
double-click on;""
double-sided;"libosó-sima"
double;"dúblɛ"
down arrow;"likulá na nsé"
down time;""
down;""
downgrade;""
download;"kotíyolo"
downloaded;"ya kotíyolo"
downloading;"kotíyolo"
downloads;""
downward;""
dpi  / dots per inch;"PNP /pútú na pusi"
draft;"bruyó, buluyó"
drafts;""
drag and drop;"kosɛlumoa pé kotíya"
drag;"kosɛlumoa"
draw;"koyema"
drawer;""
drawing area;""
drawing toolbar;""
drawing;"liyemi"
drawn;"eyemámí, ya koyema"
drive;"etángeli"
driver;"moyángeli ezíngela, piloti"
drop cap;"lɛ́tɛlinɛ"
drop down menu;""
drop out;""
drop shadow;"sɔmú etómbwámí"
drop-down combination box;""
drop-down list box;""
drop-down;"méni ya bobimi"
drop;"kotíka"
dropout;"libomí lia siniálɛ"
